Current_Category,Current_Topic,Current_Sub_Topic,Survey_Channel,Est_Count,Est_Pct,V5_Reporting_Category,V5_Reporting_Topic,V5_Reporting_Sub_Topic,Scorecard_Tier,Probation_Days,Strategic_Protection,Change_Type,Rationale
Process,Callback & Follow-Up,Promised Callback Never Received,All,421,0.43%,Process,Callback & Follow-Up,Promised Callback Never Received,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Callback & Follow-Up,Received Proactive Follow-Up / Status Update,All,149,0.15%,Process,Callback & Follow-Up,Received Proactive Follow-Up / Status Update,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Cross-Channel Friction,"Care-to-Store Referral: Billing, Account & Policy",Care | Retail | National Retail,70,0.07%,Process,Cross-Channel Friction,"Care-to-Store Referral: Billing, Account & Policy",Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Cross-Channel Friction,Care-to-Store Referral: Tech / Device Issue,Care | Retail | National Retail,258,0.27%,Process,Cross-Channel Friction,Care-to-Store Referral: Tech / Device Issue,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Cross-Channel Friction,Circular Runaround: Neither Channel Resolves,Care | Retail | National Retail,32,0.03%,Process,Cross-Channel Friction,Circular Runaround: Neither Channel Resolves,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Cross-Channel Friction,Conflicting Information: Store vs. Care,Care | Retail | National Retail,149,0.15%,Process,Cross-Channel Friction,Conflicting Information: Store vs. Care,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Cross-Channel Friction,Store-to-Care Deflection,Care | Retail | National Retail,3,0.00%,Process,Cross-Channel Friction,Store-to-Care Deflection,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Ease of Interaction & Process Friction,Interaction Was Difficult / Frustrating / Complicated,All,304,0.31%,Process,Ease of Interaction & Process Friction,Interaction Was Difficult / Frustrating / Complicated,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Ease of Interaction & Process Friction,Interaction Was Easy / Smooth / Seamless,All,223,0.23%,Process,Ease of Interaction & Process Friction,Interaction Was Easy / Smooth / Seamless,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Ease of Interaction & Process Friction,Process Was Confusing / Unclear Next Steps,All,200,0.21%,Process,Ease of Interaction & Process Friction,Process Was Confusing / Unclear Next Steps,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Escalation & Supervisor Access,Could Not Reach Supervisor / Denied Escalation,All,475,0.49%,Process,Escalation & Supervisor Access,Could Not Reach Supervisor / Denied Escalation,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Escalation & Supervisor Access,Supervisor Was Helpful / Resolved Issue,All,349,0.36%,Process,Escalation & Supervisor Access,Supervisor Was Helpful / Resolved Issue,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Escalation & Supervisor Access,Supervisor Was Unhelpful / Same as Rep,All,200,0.21%,Process,Escalation & Supervisor Access,Supervisor Was Unhelpful / Same as Rep,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,General Customer Service,Negative General Customer Service,All,3,0.00%,Process,General Customer Service,General Customer Service (Unspecified),Probation parking lot,60,No,Reporting rollup,High semantic overlap and same operational action path.
Process,General Customer Service,Positive General Customer Service,All,0,0%,Process,General Customer Service,General Customer Service (Unspecified),Probation parking lot,60,No,Reporting rollup,High semantic overlap and same operational action path.
Process,Installation & Service Activation,Installation Had Problems / Not Done Correctly,Care | IHE,519,0.54%,Process,Installation & Service Activation,Installation Had Problems / Not Done Correctly,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Installation & Service Activation,Installation Was Smooth / Quick,Care | IHE,211,0.22%,Process,Installation & Service Activation,Installation Was Smooth / Quick,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Installation & Service Activation,Multiple Technician Visits Required,Care | IHE,51,0.05%,Process,Installation & Service Activation,Multiple Technician Visits Required,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Installation & Service Activation,Service Activation Delayed / Not Active Yet,All,171,0.18%,Process,Installation & Service Activation,Service Activation Delayed / Not Active Yet,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Issue Resolution & Outcome,Issue Not Resolved / Still Unresolved,All,2689,2.77%,Process,Issue Resolution & Outcome,Issue Not Resolved / Still Unresolved,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Issue Resolution & Outcome,Issue Resolved / Problem Solved,All,2243,2.31%,Process,Issue Resolution & Outcome,Issue Resolved / Problem Solved,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Issue Resolution & Outcome,Partial Resolution / Issue Ongoing,All,218,0.23%,Process,Issue Resolution & Outcome,Partial Resolution / Issue Ongoing,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Issue Resolution & Outcome,Required Multiple Contacts to Resolve,All,131,0.14%,Process,Issue Resolution & Outcome,Required Multiple Contacts to Resolve,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Issue Resolution & Outcome,Resolved on First Contact,All,92,0.10%,Process,Issue Resolution & Outcome,Resolved on First Contact,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,New Customer Onboarding Experience,First Bill Was Confusing / Higher Than Expected,All,991,1.02%,Process,New Customer Onboarding Experience,First Bill Was Confusing / Higher Than Expected,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,New Customer Onboarding Experience,Onboarding Was Smooth / Felt Welcome as New Customer,All,537,0.55%,Process,New Customer Onboarding Experience,Onboarding Was Smooth / Felt Welcome as New Customer,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,New Customer Onboarding Experience,Switching / Porting Process Was Difficult,All,84,0.09%,Process,New Customer Onboarding Experience,Switching / Porting Process Was Difficult,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Perceived Trust - Wrong Information,Inconsistent Information,All,42,0.04%,Process,Perceived Trust - Wrong Information,Inconsistent Information,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Perceived Trust - Wrong Information,Perceived Trust,All,11,0.01%,Process,Perceived Trust - Wrong Information,Perceived Trust,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Perceived Trust - Wrong Information,Wrong Information,All,364,0.38%,Process,Perceived Trust - Wrong Information,Wrong Information,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Proactive Communication & Transparency,Appreciated Proactive Communication / Notification,All,256,0.26%,Process,Proactive Communication & Transparency,Appreciated Proactive Communication / Notification,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Proactive Communication & Transparency,Lack of Transparency / Felt Kept in the Dark,All,64,0.07%,Process,Proactive Communication & Transparency,Lack of Transparency / Felt Kept in the Dark,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Proactive Communication & Transparency,No Communication / Not Notified About Issue or Change,All,278,0.29%,Process,Proactive Communication & Transparency,No Communication / Not Notified About Issue or Change,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Shop & Purchase,Activation & Porting,Care,11,0.01%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Probation parking lot,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Shop & Purchase,Add a Line,Care,326,0.34%,Process,Shop & Purchase,Add a Line,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Shop & Purchase,Exchange & Replace,Care,8,0.01%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Probation parking lot,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Shop & Purchase,Fulfillment — Delivery,Care,3,0.00%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Probation parking lot,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Shop & Purchase,Fulfillment — Order,Care,176,0.18%,Process,Shop & Purchase,Fulfillment — Order,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Shop & Purchase,New Account,Care,3,0.00%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Probation parking lot,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Shop & Purchase,Returns,Care,2,0.00%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Probation parking lot,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Shop & Purchase,Trade-In,Care,2,0.00%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Probation parking lot,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Shop & Purchase,Unauthorized Account Changes,Care,33,0.03%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Analyst monitor tier,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Shop & Purchase,Upgrade,Care,2,0.00%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Probation parking lot,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Shop & Purchase,Warranty & Device Protection Exchange,Care,23,0.02%,Process,Shop & Purchase,Shop & Purchase — Other Transaction Friction,Probation parking lot,60,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
Process,Technician Visit Timeliness,Technician Arrived On Time / Within Window,Care | IHE,1435,1.48%,Process,Technician Visit Timeliness,Technician Arrived On Time / Within Window,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Technician Visit Timeliness,Technician No-Show / Did Not Show Up,Care | IHE,417,0.43%,Process,Technician Visit Timeliness,Technician No-Show / Did Not Show Up,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Technician Visit Timeliness,Technician Was Late,Care | IHE,89,0.09%,Process,Technician Visit Timeliness,Technician Was Late,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Transfers & Routing,Had to Repeat Information After Transfer,Care,93,0.10%,Process,Transfers & Routing,Had to Repeat Information After Transfer,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Transfers & Routing,Too Many Transfers / Bounced Around,Care,109,0.11%,Process,Transfers & Routing,Too Many Transfers / Bounced Around,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Transfers & Routing,Transferred to Right Person / Smooth Handoff,Care,736,0.76%,Process,Transfers & Routing,Transferred to Right Person / Smooth Handoff,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Wait Time & Speed of Service,Long Wait for Rep,Care,165,0.17%,Process,Wait Time & Speed of Service,Long Wait for Rep,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Wait Time & Speed of Service,Long/Multiple Holds,Care,150,0.16%,Process,Wait Time & Speed of Service,Long/Multiple Holds,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Wait Time & Speed of Service,Overall Interaction Took Too Long,All,398,0.41%,Process,Wait Time & Speed of Service,Overall Interaction Took Too Long,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Wait Time & Speed of Service,Service Was Fast/Quick/Efficient,All,938,0.97%,Process,Wait Time & Speed of Service,Service Was Fast/Quick/Efficient,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Coverage & Signal,Coverage Has Degraded / Used to Be Better,All,68,0.07%,Product,Coverage & Signal,Coverage Has Degraded / Used to Be Better,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Coverage & Signal,Coverage Map Inaccurate / Promised Coverage Not Delivered,All,69,0.07%,Product,Coverage & Signal,Coverage Map Inaccurate / Promised Coverage Not Delivered,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Coverage & Signal,Poor Coverage / No Signal in Area,All,62,0.06%,Product,Coverage & Signal,Poor Coverage / No Signal in Area,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Data & Throttling,Data Throttled / Slowed Down,All,38,0.04%,Product,Data & Throttling,Data Throttled / Slowed Down,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Data & Throttling,Data Usage Unclear / Unexpected Overage,All,97,0.10%,Product,Data & Throttling,Data Usage Unclear / Unexpected Overage,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Data & Throttling,Wants Unlimited / More Data,All,820,0.85%,Product,Data & Throttling,Wants Unlimited / More Data,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Device & Equipment,Device / Equipment / Hardware Issue,All,17,0.02%,Product,Device & Equipment,Device / Equipment / Hardware Issue,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Device & Equipment,Equipment Is Outdated / Needs Replacement,All,444,0.46%,Product,Device & Equipment,Equipment Is Outdated / Needs Replacement,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Device & Equipment,Modem-Router,All,104,0.11%,Product,Device & Equipment,Modem-Router,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Device & Equipment,Replacement Device / Equipment Swap Positive,All,58,0.06%,Product,Device & Equipment,Replacement Device / Equipment Swap Positive,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Device & Equipment,Residential Gateway,All,14,0.01%,Product,Device & Equipment,Residential Gateway,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Device & Equipment,Setup/Activate Equipment,All,6,0.01%,Product,Device & Equipment,Setup/Activate Equipment,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Device & Equipment,WiFi Extender,All,18,0.02%,Product,Device & Equipment,WiFi Extender,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Fiber & New Technology,5G Expectations / Request for 5G,All,30,0.03%,Product,Fiber & New Technology,5G Expectations / Request for 5G,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Fiber & New Technology,Fiber Not Available / Request for Fiber,All,497,0.51%,Product,Fiber & New Technology,Fiber Not Available / Request for Fiber,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Fiber & New Technology,Fiber Service Positive / Love Fiber,All,1360,1.40%,Product,Fiber & New Technology,Fiber Service Positive / Love Fiber,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Home Phone Service,Home Phone,All,3446,3.55%,Product,Home Phone Service,Home Phone,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Internet / WiFi Service Quality,Internet / WiFi Intermittent / Drops Connection,All,513,0.53%,Product,Internet / WiFi Service Quality,Internet / WiFi Intermittent / Drops Connection,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Internet / WiFi Service Quality,Internet / WiFi Not Working / Down,All,1066,1.10%,Product,Internet / WiFi Service Quality,Internet / WiFi Not Working / Down,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Internet / WiFi Service Quality,Internet / WiFi Service Positive,All,56,0.06%,Product,Internet / WiFi Service Quality,Internet / WiFi Service Positive,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Internet / WiFi Service Quality,Internet Is Slow / Poor Speed,All,200,0.21%,Product,Internet / WiFi Service Quality,Internet Is Slow / Poor Speed,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Internet / WiFi Service Quality,WiFi Coverage / Dead Spots in Home,All,37,0.04%,Product,Internet / WiFi Service Quality,WiFi Coverage / Dead Spots in Home,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Service Outage,Experienced Service Outage / Area Outage,All,238,0.25%,Product,Service Outage,Experienced Service Outage / Area Outage,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Service Outage,No Communication During Outage / No ETA,All,24,0.03%,Product,Service Outage,No Communication During Outage / No ETA,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Service Outage,Outage Duration Was Excessive,All,7,0.01%,Product,Service Outage,Outage Duration Was Excessive,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Service Outage,Wants Credit / Refund for Outage Period,All,104,0.11%,Product,Service Outage,Wants Credit / Refund for Outage Period,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Wireless / Mobile Service Quality,Dropped Calls / Call Quality Issues,All,182,0.19%,Product,Wireless / Mobile Service Quality,Dropped Calls / Call Quality Issues,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Wireless / Mobile Service Quality,Wireless / Phone Service Not Working,All,128,0.13%,Product,Wireless / Mobile Service Quality,Wireless / Phone Service Not Working,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Product,Wireless / Mobile Service Quality,Wireless Service Positive / Good Reception,All,41,0.04%,Product,Wireless / Mobile Service Quality,Wireless Service Positive / Good Reception,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,Foreign Language Response,Non-English Response / Requires Translation,All,875,0.90%,Survey Artifact,Foreign Language Response,Non-English Response / Requires Translation,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,No Feedback / Blank Response,No Comment / Nothing Entered,All,1836,1.89%,Survey Artifact,No Feedback / Blank Response,No Comment / Nothing Entered,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,No Feedback / Blank Response,Single Word Non-Actionable,All,45,0.05%,Survey Artifact,No Feedback / Blank Response,Single Word Non-Actionable,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,Score Correction / Rating Clarification,Perfect Score Affirmation / No Issue,All,196,0.20%,Survey Artifact,Score Correction / Rating Clarification,Perfect Score Affirmation / No Issue,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,Score Correction / Rating Clarification,Score Explanation / Meant Different Rating,All,1428,1.47%,Survey Artifact,Score Correction / Rating Clarification,Score Explanation / Meant Different Rating,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,Stop Survey / Opt-Out Request,Stop Sending Surveys / Too Many Surveys,All,381,0.39%,Survey Artifact,Stop Survey / Opt-Out Request,Stop Sending Surveys / Too Many Surveys,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,Survey Experience Complaint,Survey Too Long / Poorly Designed,All,111,0.11%,Survey Artifact,Survey Experience Complaint,Survey Too Long / Poorly Designed,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,Unintelligible / Gibberish,Random Characters / Keyboard Input,All,12,0.01%,Survey Artifact,Unintelligible / Gibberish,Random Characters / Keyboard Input,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Survey Artifact,Wrong Customer / Wrong Interaction,Wrong Person / Did Not Call,All,2999,3.09%,Survey Artifact,Wrong Customer / Wrong Interaction,Wrong Person / Did Not Call,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
